"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1.55,20.05,1.38,2.02,2.9,2.17,0.51,3.47,0.91
"2",1.63,12.58,2.64,2.62,2.78,1.72,0.5,4.57,1.25
"3",1.66,18.56,1.56,2.08,2.68,2.4,0.43,3.52,0.82
"4",1.52,18.56,2.22,2.2,3.17,2.06,0.52,3.69,0.97
"5",1.7,14.02,2.85,2.38,2.52,2.18,0.42,4.01,1.12
"6",1.68,15.64,1.24,2.03,2.56,2.57,0.44,2.79,0.82
"7",1.78,14.52,2.86,2.87,2.67,2.64,0.5,3.92,1.06
"8",1.57,18.52,2.18,1.88,2.58,2.22,0.49,3.58,1.01
"9",1.6,17.84,1.65,1.93,2.26,2.15,0.56,3.57,0.92
"10",1.52,13.38,3.28,2.57,1.74,1.64,0.51,4.38,1.22
"11",1.68,17.55,1.56,1.95,2.15,2.48,0.48,3.28,0.81
"12",1.74,17.97,2,2.03,2,2.38,0.5,3.31,0.98
"13",1.93,14.66,2.88,2.5,2.07,2.32,0.48,3.72,1.04
"14",1.77,17.31,1.36,1.72,2.24,2.25,0.52,3.1,0.78
"15",1.94,14.32,2.66,2.53,1.74,2.64,0.5,3.48,0.93
"16",1.83,15.05,2.43,1.9,1.46,1.97,0.46,3.48,0.9
"17",2.09,15.47,2.42,2.18,0.74,2.46,0.48,3.16,0.86
"18",1.72,16.85,2.16,2.16,2.84,2.36,0.49,3.68,0.95
"19",1.49,17.42,2.12,2.14,3.3,2.04,0.48,3.28,1.06
"20",1.52,18.55,1.87,1.98,2.9,2.16,0.48,3.56,0.84
"21",1.64,18.74,2.1,1.89,2.82,2.04,0.53,3.56,1.02
"22",1.4,14.79,2.21,2.07,2.79,2.15,0.52,3.49,1.04
"23",1.78,18.86,2,2.08,3.14,2.6,0.5,3.3,0.8
"24",1.93,15.62,2.26,2.21,2.81,2.18,0.44,4.16,0.92
"25",1.53,18.56,2.14,2,3.16,2.22,0.51,3.73,1.07
